# /home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75/CPo3Ti40S400_75.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.8864650549564748, -3.8864650549564748], error=0.6782924633690215, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
138000	4.955660352567318E-5	24595.84197596188
139000	4.577843559979001E-5	23750.296856631
140000	4.35084302671999E-5	25764.49466037346
141000	4.9933026462718624E-5	25867.64740318296
142000	3.2159701605267314E-5	22796.804360834012
143000	4.670864564243998E-5	24298.90138329488
144000	4.639805727903917E-5	20220.904620920337
145000	5.0457389337419775E-5	25381.509680788193
146000	4.589893258103011E-5	25301.30510288258
147000	4.916123800113235E-5	25441.283182795298
148000	5.09566922689587E-5	24707.686151739006
149000	3.074047200319497E-5	23716.97969408102
150000	4.6403231737935566E-5	23023.1928589114
151000	4.5764898244970684E-5	24188.419858244386
152000	4.408905776716885E-5	12662.34411954703
153000	5.0448325712218436E-5	23761.9806522538
154000	4.912982609587377E-5	15848.629070796214
155000	5.10842592451859E-5	24689.3965527734
156000	5.11175754261959E-5	20338.039635927176
157000	4.917645702318782E-5	25187.60346833118
158000	5.020365964214236E-5	24496.177219411886
159000	7.353630537554722E-6	13408.283494504125
160000	5.115069144938401E-5	17393.132420560927
161000	7.580973819154275E-6	7329.063187233511
162000	5.031213410773711E-5	22225.833984201967
163000	5.023674484971196E-5	25457.083528675455
164000	2.350005937169292E-5	17274.384817025864
165000	5.0432394703380915E-5	23022.895502046238
166000	3.445802656111203E-5	26125.611270798385
167000	3.023165055294984E-5	13488.074542602337
168000	5.016851527900699E-5	19280.879983943127
169000	4.509453545418778E-5	10155.323856929657
170000	5.036714774488427E-5	23247.80951963288
171000	3.3681873370610036E-5	5938.960601309606
172000	5.140756691718423E-5	19731.848828498998
173000	4.611732076122605E-5	20085.79366074287
174000	4.7494274565220037E-5	24477.733388218796
175000	7.973130359836588E-6	15499.17011701924
176000	4.621502131164135E-5	23135.561037483098
177000	5.10090685932147E-5	25860.99454796123
178000	4.959676298993946E-5	24524.04749573879
179000	1.830890103099269E-5	18391.254432486872
180000	4.4355138735234006E-5	24718.53029617069
181000	4.707593068322176E-5	25001.648689159818
182000	1.4238444248160993E-5	12955.162960859483
183000	4.8322070161901926E-5	23882.023974249976
184000	4.281156595120755E-5	25483.96221467896
185000	5.0662133736757966E-5	15088.207537890914
186000	3.6292454715543685E-5	23284.19465770337
187000	4.042785066149414E-5	1240.4510876972633
188000	4.26743754005509E-5	18334.154684426034
189000	2.463440964926952E-5	21623.965793371113
190000	4.378773011445507E-5	11897.37385803534
191000	3.689358168333085E-5	10486.27582060342
192000	4.126629475378527E-5	20371.750996653685
193000	4.307469433108197E-5	24771.549265605063
194000	4.7965107601171726E-5	20526.40661360453
195000	4.692029532041748E-5	13161.785060526472
196000	1.837138378180882E-5	5949.902174546445
197000	5.09338488203004E-5	15279.129666701509
198000	4.893964964875559E-5	12539.782393811667
199000	4.439477012007229E-5	20636.555741745768
200000	1.6503622652474242E-5	15033.69067672632
201000	4.930416239204196E-5	22579.58725402433
202000	4.481603214724504E-5	24253.104071093716
203000	4.6109259886481966E-5	24483.72056283294
204000	3.452860175305618E-5	23925.794364440193
205000	3.770419711326578E-5	19573.866364353788
206000	2.7368044141988604E-6	16938.36582885807
207000	5.1194743043749506E-5	24029.60623307455
208000	4.686289878757099E-5	25515.259552877134
209000	5.082354270476982E-5	22191.040179436568
210000	4.428241116338328E-5	3535.1524537561218
211000	5.107117946489042E-5	25766.98974449852
212000	3.76752718850893E-5	26217.584975089692
213000	1.9410070804520096E-5	8900.369671184693
214000	4.7772840237435296E-5	22864.167784513014
215000	3.898091933367586E-5	23873.4650306795
216000	8.430341273520613E-6	13129.03579446519
217000	5.044901894004616E-5	25051.860346572477
218000	3.242727195409262E-5	23753.819246772488
219000	3.155022151569871E-5	24376.043492921643
220000	4.755218227441304E-5	23874.014931613412
221000	3.0198190287267847E-5	2550.7462736788934
222000	4.071504814997589E-5	25569.667466434996
223000	4.940672564466017E-5	20449.04575151882
224000	4.708349011210841E-5	25951.77692219917
225000	8.459815817335192E-6	11281.949376965313
226000	8.071237781311994E-6	8831.868338414422
227000	4.9295494378899914E-5	25536.146624204484
228000	2.0782098902073494E-5	16008.35020873959
229000	2.9730753100068074E-5	12650.042615014145
230000	3.0384104654129956E-5	3660.4402673845952
231000	1.7498545420645854E-5	2597.2521232882855
232000	1.2853985397607243E-5	6908.593785681862
233000	5.139965583638272E-5	25363.3575452061
234000	4.201464174036355E-5	22835.60533621999
235000	1.1946638159450275E-5	7065.090834661667
236000	2.9965978421874602E-5	13030.072592930215
237000	1.2713887476474259E-5	10734.615095169995
