# /home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9/CPo3Ti40S400_9.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.923111739116133, -3.923111739116133], error=0.6678366502057872, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
198000	9.24294373692481E-6	21539.514063947892
199000	9.24294373692481E-6	21539.514063947892
200000	9.24294373692481E-6	21539.514063947892
201000	9.24294373692481E-6	21539.514063947892
202000	9.24294373692481E-6	21539.514063947892
203000	9.24294373692481E-6	21539.514063947892
204000	9.24294373692481E-6	21539.514063947892
205000	9.24294373692481E-6	21539.514063947892
206000	9.24294373692481E-6	21539.514063947892
207000	9.24294373692481E-6	21539.514063947892
208000	9.24294373692481E-6	21539.514063947892
209000	9.24294373692481E-6	21539.514063947892
210000	9.24294373692481E-6	21539.514063947892
211000	9.24294373692481E-6	21539.514063947892
212000	9.24294373692481E-6	21539.514063947892
213000	9.24294373692481E-6	21539.514063947892
214000	9.24294373692481E-6	21539.514063947892
215000	9.24294373692481E-6	21539.514063947892
216000	9.24294373692481E-6	21539.514063947892
217000	9.24294373692481E-6	21539.514063947892
218000	9.24294373692481E-6	21539.514063947892
219000	9.24294373692481E-6	21539.514063947892
220000	9.24294373692481E-6	21539.514063947892
221000	9.24294373692481E-6	21539.514063947892
222000	9.24294373692481E-6	21539.514063947892
223000	9.24294373692481E-6	21539.514063947892
224000	9.24294373692481E-6	21539.514063947892
225000	9.24294373692481E-6	21539.514063947892
226000	9.24294373692481E-6	21539.514063947892
227000	9.24294373692481E-6	21539.514063947892
228000	9.24294373692481E-6	21539.514063947892
229000	9.24294373692481E-6	21539.514063947892
230000	9.24294373692481E-6	21539.514063947892
231000	9.24294373692481E-6	21539.514063947892
232000	9.24294373692481E-6	21539.514063947892
233000	9.24294373692481E-6	21539.514063947892
234000	9.24294373692481E-6	21539.514063947892
235000	9.24294373692481E-6	21539.514063947892
236000	9.24294373692481E-6	21539.514063947892
237000	9.24294373692481E-6	21539.514063947892
238000	9.24294373692481E-6	21539.514063947892
239000	9.24294373692481E-6	21539.514063947892
240000	9.24294373692481E-6	21539.514063947892
241000	9.24294373692481E-6	21539.514063947892
242000	9.24294373692481E-6	21539.514063947892
243000	9.24294373692481E-6	21539.514063947892
244000	9.24294373692481E-6	21539.514063947892
245000	9.24294373692481E-6	21539.514063947892
246000	9.24294373692481E-6	21539.514063947892
247000	9.24294373692481E-6	21539.514063947892
248000	9.24294373692481E-6	21539.514063947892
249000	9.24294373692481E-6	21539.514063947892
250000	9.59569837628524E-6	21539.514063947892
251000	9.59569837628524E-6	21539.514063947892
252000	9.59569837628524E-6	21539.514063947892
253000	9.59569837628524E-6	21539.514063947892
254000	9.59569837628524E-6	21539.514063947892
255000	9.59569837628524E-6	21539.514063947892
256000	9.59569837628524E-6	21539.514063947892
257000	9.59569837628524E-6	21539.514063947892
258000	9.59569837628524E-6	21539.514063947892
259000	9.59569837628524E-6	21539.514063947892
260000	9.59569837628524E-6	21539.514063947892
261000	9.59569837628524E-6	21539.514063947892
262000	9.59569837628524E-6	21539.514063947892
263000	9.59569837628524E-6	21539.514063947892
264000	9.59569837628524E-6	21539.514063947892
265000	9.59569837628524E-6	21539.514063947892
266000	9.59569837628524E-6	21539.514063947892
267000	9.59569837628524E-6	21539.514063947892
268000	9.59569837628524E-6	21539.514063947892
269000	9.59569837628524E-6	21539.514063947892
270000	9.59569837628524E-6	21539.514063947892
271000	9.59569837628524E-6	21539.514063947892
272000	9.59569837628524E-6	21539.514063947892
273000	9.59569837628524E-6	21539.514063947892
274000	9.59569837628524E-6	21539.514063947892
275000	9.59569837628524E-6	21539.514063947892
276000	9.59569837628524E-6	21539.514063947892
277000	9.59569837628524E-6	21539.514063947892
278000	9.59569837628524E-6	21539.514063947892
279000	9.59569837628524E-6	21539.514063947892
280000	9.59569837628524E-6	21539.514063947892
281000	9.59569837628524E-6	21539.514063947892
282000	9.59569837628524E-6	21539.514063947892
283000	9.59569837628524E-6	21539.514063947892
284000	9.59569837628524E-6	21539.514063947892
285000	9.59569837628524E-6	21539.514063947892
286000	9.59569837628524E-6	21539.514063947892
287000	9.59569837628524E-6	21539.514063947892
288000	9.59569837628524E-6	21539.514063947892
289000	9.59569837628524E-6	21539.514063947892
290000	9.59569837628524E-6	21539.514063947892
291000	9.59569837628524E-6	21539.514063947892
292000	9.59569837628524E-6	21539.514063947892
293000	9.59569837628524E-6	21539.514063947892
294000	9.59569837628524E-6	21539.514063947892
295000	9.59569837628524E-6	21539.514063947892
296000	9.59569837628524E-6	21539.514063947892
297000	9.59569837628524E-6	21539.514063947892
298000	9.59569837628524E-6	21539.514063947892
299000	9.59569837628524E-6	21539.514063947892
300000	9.59569837628524E-6	21539.514063947892
301000	9.59569837628524E-6	21539.514063947892
302000	9.59569837628524E-6	21539.514063947892
303000	9.59569837628524E-6	21539.514063947892
304000	9.59569837628524E-6	21539.514063947892
305000	9.59569837628524E-6	21539.514063947892
306000	9.59569837628524E-6	21539.514063947892
307000	9.59569837628524E-6	21539.514063947892
308000	9.59569837628524E-6	21539.514063947892
309000	9.59569837628524E-6	21539.514063947892
310000	9.59569837628524E-6	21539.514063947892
311000	9.59569837628524E-6	21539.514063947892
312000	9.59569837628524E-6	21539.514063947892
313000	9.59569837628524E-6	21539.514063947892
314000	9.59569837628524E-6	21539.514063947892
315000	9.59569837628524E-6	21539.514063947892
316000	9.59569837628524E-6	21539.514063947892
317000	9.59569837628524E-6	21539.514063947892
318000	9.59569837628524E-6	21539.514063947892
319000	9.59569837628524E-6	21539.514063947892
320000	9.59569837628524E-6	21539.514063947892
321000	9.59569837628524E-6	21539.514063947892
322000	9.59569837628524E-6	21539.514063947892
323000	9.59569837628524E-6	21539.514063947892
324000	9.59569837628524E-6	21539.514063947892
325000	9.59569837628524E-6	21539.514063947892
326000	9.59569837628524E-6	21539.514063947892
327000	9.59569837628524E-6	21539.514063947892
328000	9.59569837628524E-6	21539.514063947892
329000	9.59569837628524E-6	21539.514063947892
330000	9.59569837628524E-6	21539.514063947892
331000	9.59569837628524E-6	21539.514063947892
332000	9.59569837628524E-6	21539.514063947892
333000	9.59569837628524E-6	21539.514063947892
334000	9.59569837628524E-6	21539.514063947892
335000	9.59569837628524E-6	21539.514063947892
336000	9.59569837628524E-6	21539.514063947892
337000	9.59569837628524E-6	21539.514063947892
338000	9.59569837628524E-6	21539.514063947892
339000	9.59569837628524E-6	21539.514063947892
340000	9.59569837628524E-6	21539.514063947892
341000	9.59569837628524E-6	21539.514063947892
342000	9.59569837628524E-6	21539.514063947892
343000	9.59569837628524E-6	21539.514063947892
344000	9.59569837628524E-6	21539.514063947892
345000	9.59569837628524E-6	21539.514063947892
346000	9.59569837628524E-6	21539.514063947892
347000	9.59569837628524E-6	21539.514063947892
348000	9.59569837628524E-6	21539.514063947892
349000	9.59569837628524E-6	21539.514063947892
350000	9.59569837628524E-6	21539.514063947892
351000	9.59569837628524E-6	21539.514063947892
352000	9.59569837628524E-6	21539.514063947892
353000	9.59569837628524E-6	21539.514063947892
354000	9.59569837628524E-6	21539.514063947892
355000	9.59569837628524E-6	21539.514063947892
356000	9.59569837628524E-6	21539.514063947892
357000	9.59569837628524E-6	21539.514063947892
358000	9.59569837628524E-6	21539.514063947892
359000	9.59569837628524E-6	21539.514063947892
360000	9.59569837628524E-6	21539.514063947892
361000	9.59569837628524E-6	21539.514063947892
362000	9.59569837628524E-6	21539.514063947892
363000	9.59569837628524E-6	21539.514063947892
364000	9.59569837628524E-6	21539.514063947892
365000	9.59569837628524E-6	21539.514063947892
366000	9.59569837628524E-6	21539.514063947892
367000	9.59569837628524E-6	21539.514063947892
368000	9.59569837628524E-6	21539.514063947892
369000	9.59569837628524E-6	21008.241658707113
370000	9.59569837628524E-6	21008.241658707113
371000	9.59569837628524E-6	21008.241658707113
372000	9.59569837628524E-6	21008.241658707113
373000	9.59569837628524E-6	21008.241658707113
374000	9.59569837628524E-6	21008.241658707113
375000	9.59569837628524E-6	21008.241658707113
376000	9.59569837628524E-6	21008.241658707113
377000	9.59569837628524E-6	21008.241658707113
378000	9.59569837628524E-6	21008.241658707113
379000	9.59569837628524E-6	21008.241658707113
380000	9.59569837628524E-6	21008.241658707113
381000	9.59569837628524E-6	21008.241658707113
382000	9.59569837628524E-6	21008.241658707113
383000	9.59569837628524E-6	21008.241658707113
384000	9.59569837628524E-6	21008.241658707113
385000	9.59569837628524E-6	21008.241658707113
386000	9.59569837628524E-6	21008.241658707113
387000	9.59569837628524E-6	21008.241658707113
388000	9.59569837628524E-6	21008.241658707113
389000	9.59569837628524E-6	21008.241658707113
390000	9.59569837628524E-6	21008.241658707113
391000	9.59569837628524E-6	21008.241658707113
392000	9.59569837628524E-6	21008.241658707113
393000	9.59569837628524E-6	20580.58124433052
394000	9.59569837628524E-6	20580.58124433052
395000	9.59569837628524E-6	20580.58124433052
396000	9.59569837628524E-6	20580.58124433052
397000	9.59569837628524E-6	20580.58124433052
398000	9.59569837628524E-6	20580.58124433052
399000	9.567444923158246E-6	20580.58124433052
400000	9.567444923158246E-6	20580.58124433052
401000	9.567444923158246E-6	20580.58124433052
402000	9.567444923158246E-6	20580.58124433052
403000	9.567444923158246E-6	20580.58124433052
404000	9.567444923158246E-6	20580.58124433052
405000	9.567444923158246E-6	20580.58124433052
406000	9.567444923158246E-6	20580.58124433052
407000	9.567444923158246E-6	20580.58124433052
408000	9.567444923158246E-6	20580.58124433052
409000	9.567444923158246E-6	20580.58124433052
